"","final_earnings","seat","client"
"1",13.5,NA,"cl-6"
"53",10,NA,"cl-4"
"126",6.5,NA,"cl-13"
"270",10.5,NA,"cl-15"
"491",8.5,NA,"cl-3"
"886",11,NA,"cl-18"
"316",12.4,NA,"cl-1"
"736",14.5,NA,"Client-19"
"852",4,NA,"cl-14"
"452",11.5,NA,"cl-11"
"587",4.6,NA,"cl-2"
"693",14.5,NA,"cl-9"
"176",9.1,NA,"cl-7"
"231",9,NA,"cl-10"
"796",9.2,NA,"cl-12"
"380",11.9,NA,"cl-17"
"549",9.5,NA,"cl-8"
"626",15.5,NA,"cl-16"
