"","final_earnings","seat","client"
"1",13,NA,"cl-3"
"291",13,NA,"cl-1"
"393",9,NA,"cl-11"
"164",7.9,NA,"cl-12"
"245",10,NA,"cl-4"
"332",10,NA,"cl-2"
"53",10.6,NA,"cl-18"
"531",12,NA,"cl-9"
"593",10,NA,"cl-7"
"129",10.8,NA,"cl-5"
"459",10.8,NA,"cl-10"
"513",10,NA,"cl-6"
