"","final_earnings","seat","client"
"417",13.1,NA,"cl-18"
"674",4.6,NA,"cl-2"
"709",14.5,NA,"cl-8"
"244",5.6,NA,"cl-4"
"298",14.5,NA,"cl-12"
"794",14.5,NA,"cl-17"
"160",8.5,NA,"cl-3"
"384",10,NA,"cl-6"
"579",9.5,NA,"cl-5"
"24",11,NA,"cl-16"
"324",12.4,NA,"cl-15"
"526",6.6,NA,"cl-13"
"72",13,NA,"cl-10"
"729",11.5,NA,"cl-7"
"846",10,NA,"cl-9"
"105",10.4,NA,"cl-14"
"474",9.5,NA,"cl-11"
"905",12.5,NA,"cl-1"
