"","final_earnings","seat","client"
"573",13.5,NA,"cl-18"
"668",12.5,NA,"cl-13"
"849",8.5,NA,"cl-4"
"106",7.5,NA,"cl-6"
"691",9,NA,"cl-8"
"794",6,NA,"cl-10"
"212",9.5,NA,"cl-11"
"295",10.2,NA,"cl-16"
"543",7.6,NA,"cl-3"
"192",16.5,NA,"cl-17"
"366",12.5,NA,"cl-14"
"419",16.5,NA,"cl-1"
"72",12,NA,"cl-2"
"476",4.5,NA,"cl-12"
"754",12.9,NA,"Cl-19"
"51",4.5,NA,"cl-15"
"343",16.5,NA,"cl-7"
"898",9.9,NA,"cl-9"
