"id","period","userperiod","round","instructions","byear","gender","race","ideo1","ideo2","ideo3","ideo4","ideo5","ideo6","ideo7","ideo8","ideo9","ideo10","sp","ideo_test","noise","ideology","ideology.noise","mg","group","group_id","prop1","prop2","prop3","offer","vote","vote_result","pd1","pd2","pd3","earnings","payment","pay_period","select_period","select_earn","payoffdictator","final_earnings","demand","comment","session","treatment","treat_inst","uni","type_student","startyear","degree","nationality","expts","t_expts","moveon","IP","client","seat"
9,1,0,0,NA,"1994","male","white","1","-2","2","-1","-2","2","0","1","2","0",5,"0",0.493391969753429,5,5.49339196975343,1,1.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,5.9,1,9.4," Peoples willingness to gain at another's expense.
How people react to those who seek to gain at another's expense."," Boredom for the most part. It'd be interesting to see how people vote given access to each members proposal at the time of voting.","GRIexpt-2015-02-24-140532","GRI","Read","1","2",NA," Computer science","United Kingdom","1","1",NA,"155.245.28.24","cl-18",NA
16,1,0,0,NA,"1990","male","white","1","-1","-1","-1","-2","0","1","1","1","0",5,"0",0.0290027013514191,5,5.02900270135142,1,1.1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,8,4,14.5," if our decisions are influenced by color/gender/political opinions","after the first few periods people become more ""aggressive"" when they split the money which makes me behave like that as well","GRIexpt-2015-02-24-140532","GRI","Read","1","1",NA," MSc Psychology Conversion course","Greece","1","2",NA,"155.245.28.25","Cl-19",NA
17,1,0,0,NA,"1975","female","white","2","-2","2","0","-2","2","2","2","-1","-1",4,"-2",0.00186154479160905,4,4.00186154479161,1,1.1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,7,1,10.5," politics and money"," ","GRIexpt-2015-02-24-140532","GRI","Read","1","1",NA," Language and Linguistics","Italy","1","10",NA,"155.245.28.22","cl-16",NA
10,1,0,0,NA,"1994","male","white","-1","-1","1","-1","-1","2","2","1","1","1",6,"0",-0.379855206469074,6,5.62014479353093,1,1.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,9,4,15.5," An experiment which tested the greediness of participants and how they went about negotiating money between a small group of people. "," The experiment was alright, however it took too long between each round to get going again. ","GRIexpt-2015-02-24-140532","GRI","Read","1","2",NA," BA History","United Kingdom","1","1",NA,"155.245.28.16","cl-10",NA
12,1,0,0,NA,"1993","female","white","1","-2","1","0","-2","2","2","0","0","1",6,"2",-0.247713093925267,6,5.75228690607473,1,1.2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,8.5,5,16," Whether a person that believes in certain left or right political platform is willing to share with the opponents or not. And if so whether he/ she will do  it with the closer opponent by believes or not.  "," I Liked the experiment and the challenge was that there is uncertainty if your proposal will be chosen or not. ","GRIexpt-2015-02-24-140532","GRI","Read","1","2",NA," Economics&Politics","Bulgaria","1","3",NA,"155.245.28.12","cl-6",NA
13,1,0,0,NA,"1995","male","white","1","-1","0","0","1","2","1","-1","0","0",7,"-2",-0.136712662968785,7,6.86328733703122,1,1.2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,0.1,3,5.6,"I think it's mainly about how are political/social views influence us about money, but also decision making and sympathy.","It must be an interesting experiment in showing how expectable the decisions are made regarding the background of the participants, especially political background.","GRIexpt-2015-02-24-140532","GRI","Read","1","2",NA," LLB English and French Law (with master)","France","0","0",NA,"155.245.28.19","cl-13",NA
5,1,0,0,NA,"1992","female","white","2","-1","1","-1","-2","2","2","1","0","-1",3,"0",-0.580261273588985,3,2.41973872641101,2,2.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,8,3.5,14," Whether right/left wing people are more or less likely to split money fairly or not."," Interesting ","GRIexpt-2015-02-24-140532","GRI","Read","1","1",NA," Tropical Marine Biology","United Kingdom","1","2",NA,"155.245.28.8","cl-2",NA
14,1,0,0,NA,"1992","male","white","-2","1","0","1","-1","2","2","-2","-2","0",6,"0",-0.352521215146407,6,5.64747878485359,2,2.1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,8,4.5,15,"Study whether people on average have a selfish or altruistic behaviour.","There was a poor sample since in 10 stages I have been matched only with people who framed themselves as female. ","GRIexpt-2015-02-24-140532","GRI","Read","1","1",NA," MSc Computational Finance","Italy","1","2",NA,"155.245.28.10","cl-4",NA
18,1,0,0,NA,"1993","female","brown","0","-2","-2","0","0","2","2","1","1","0",3,"0",0.502995651075616,3,3.50299565107562,2,2.1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,8,3.5,14," if there is discrimnation against which wing you support"," interesting","GRIexpt-2015-02-24-140532","GRI","Read","1","2",NA," LLB Law","United Kingdom","0","0",NA,"155.245.28.41","cl-1",NA
1,1,0,0,NA,"1996","female","black","2","-2","-2","-2","-1","2","2","1","-2","0",8,"1",0.411677391733974,8,8.41167739173397,2,2.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,8,3,13.5,"Whether depending on your political views, how you think Wealth should be shared."," It was interesting to see how other participants shared the money between eachother","GRIexpt-2015-02-24-140532","GRI","Read","1","2",NA," psychology BCs","United Kingdom","1","4",NA,"155.245.28.20","cl-14",NA
8,1,0,0,NA,"1994","female","brown","-1","-2","0","-1","-2","2","2","2","0","0",8,"0",-0.272592181060463,8,7.72740781893954,2,2.2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,0,2,4.5," This was about the way people behave and if there was an discrimination involved.","It was good but it needs to be more faster as we have to wait long periods between negotiations.","GRIexpt-2015-02-24-140532","GRI","Read","1","2",NA," BSc Accounting and Management","United Kingdom","1","1",NA,"155.245.28.23","cl-17",NA
11,1,0,0,NA,"1996","female","brown","0","-1","0","-2","2","0","2","-2","-2","-1",5,"0",0.277502746647224,5,5.27750274664722,2,2.2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,3,1.5,7," determining how selfish one can be"," its alright, we should have been able to obtain at least some money each time","GRIexpt-2015-02-24-140532","GRI","Read","1","2",NA," biological science","United Kingdom","1","3",NA,"155.245.28.13","cl-7",NA
2,1,0,0,NA,"1994","female","white","-2","-1","0","1","-1","2","1","1","-1","-1",4,"0",0.170945825008676,4,4.17094582500868,3,3.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,7,1,10.5," About the decision-making process and how personal perception and prejudices influence your behavior. Also about how selfish and calculative or justice you are in decision-making."," Easy to do but too much time between the voting. ","GRIexpt-2015-02-24-140532","GRI","Read","1","2",NA," Business Management and Modern Languages","Germany","0","0",NA,"155.245.28.18","cl-12",NA
3,1,0,0,NA,"1990","female","white","-2","-2","1","2","-2","1","2","2","2","-1",2,"0",0.404658006224781,2,2.40465800622478,3,3.1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,3,4,9.5," politics and the different oppinions"," good","GRIexpt-2015-02-24-140532","GRI","Read","1","2",NA," LLB LAW","Cyprus","0","0",NA,"155.245.28.21","cl-15",NA
