"","final_earnings","seat","client"
"261",14.5,NA,"cl-1"
"407",6.5,NA,"cl-18"
"657",10.5,NA,"cl-17"
"215",12.5,NA,"cl-6"
"505",6.5,NA,"Cl-19"
"525",4.5,NA,"cl-4"
"4",9.5,NA,"cl-2"
"190",12.1,NA,"cl-10"
"317",7.5,NA,"cl-13"
"54",10.5,NA,"cl-9"
"121",12.7,NA,"cl-12"
"787",10,NA,"cl-3"
"592",12.9,NA,"cl-14"
"690",10.2,NA,"cl-8"
"907",13,NA,"cl-15"
"430",10.5,NA,"cl-11"
"732",14.7,NA,"cl-16"
"866",9.8,NA,"cl-7"
