"","final_earnings","seat","client"
"105",4.5,NA,"cl-9"
"290",13,NA,"cl-2"
"685",14.5,NA,"cl-1"
"160",6.5,NA,"cl-6"
"314",10.3,NA,"cl-8"
"626",14.5,NA,"cl-10"
"4",15,NA,"cl-18"
"219",13.5,NA,"cl-11"
"738",9.4,NA,"cl-7"
"506",9.2,NA,"cl-16"
"534",12.2,NA,"cl-17"
"784",5.1,NA,"cl-12"
"72",11.5,NA,"cl-15"
"439",10.1,NA,"cl-5"
"597",10.5,NA,"cl-13"
"379",11.7,NA,"cl-3"
"833",11.6,NA,"cl-14"
"885",11,NA,"cl-4"
