,final_earnings,seat,client
20,11.1,NA,cl-1
577,9.5,NA,cl-10
439,13,NA,cl-11
66,11.5,NA,cl-12
212,6.6,NA,cl-13
534,16.5,NA,cl-14
410,16,NA,cl-15
905,10.8,NA,cl-16
179,11.9,NA,cl-17
342,9.2,NA,cl-18
663,9.5,NA,cl-2
283,15.3,NA,cl-3
747,10.6,NA,cl-4
796,9.9,NA,cl-5
870,9,NA,cl-6
481,13,NA,cl-7
105,13.5,NA,cl-8
692,10.8,NA,cl-9
