"","final_earnings","seat","client"
"53",9.5,NA,"cl-9"
"380",12.5,NA,"cl-2"
"683",6.5,NA,"cl-4"
"153",10.2,NA,"cl-10"
"286",11.9,NA,"cl-11"
"638",11.4,NA,"cl-18"
"160",12.5,NA,"cl-13"
"427",17.4,NA,"cl-8"
"737",12.5,NA,"cl-1"
"24",10.6,NA,"cl-14"
"469",10.5,NA,"cl-16"
"885",15.8,NA,"cl-17"
"228",8.7,NA,"cl-12"
"523",9.5,NA,"Cl-19"
"789",13.7,NA,"cl-3"
"326",9.5,NA,"cl-15"
"575",14.5,NA,"cl-6"
"853",11.6,NA,"cl-7"
