"","final_earnings","seat","client"
"105",10.7,NA,"cl-5"
"365",10.5,NA,"cl-3"
"659",10.5,NA,"cl-18"
"684",10.5,NA,"cl-2"
"738",10.7,NA,"cl-8"
"781",11,NA,"cl-12"
"56",10,NA,"cl-14"
"241",10.6,NA,"cl-4"
"582",10,NA,"cl-13"
"193",10,NA,"cl-16"
"313",10.6,NA,"cl-9"
"842",12,NA,"cl-1"
"280",11,NA,"cl-7"
"490",10.5,NA,"cl-15"
"911",11,NA,"cl-6"
"29",10.2,NA,"cl-17"
"432",11.1,NA,"cl-11"
"523",10.6,NA,"cl-10"
